time_s,ROI_raw_1,ROI_raw_2,ROI_raw_3,ROI_raw_4,ROI_raw_5,ROI_raw_6,ROI_raw_7,ROI_raw_8,ROI_raw_9,ROI_raw_10
0.0,26764.2578125,11539.9609375,4714.25244140625,8737.3115234375,12031.6015625,6601.15087890625,3691.33642578125,5237.09912109375,3665.240966796875,4781.5712890625
0.05,26909.919921875,11597.4560546875,4757.82958984375,8820.4208984375,12050.9912109375,6623.93798828125,3750.858154296875,5262.42822265625,3724.34912109375,4872.11767578125
0.1,27015.271484375,11715.5390625,4795.77197265625,8881.7763671875,12224.7607421875,6645.43212890625,3734.979248046875,5306.6376953125,3739.804931640625,4881.80126953125
0.15,26765.814453125,11561.30078125,4768.4755859375,8714.5849609375,12071.947265625,6587.03466796875,3681.00830078125,5230.65087890625,3714.40380859375,4775.91015625
0.2,26535.478515625,11436.185546875,4714.111328125,8625.8662109375,11823.9482421875,6495.6552734375,3682.80517578125,5171.12255859375,3661.480712890625,4728.3349609375
0.25,26836.427734375,11541.3681640625,4821.3125,8911.66796875,12001.603515625,6538.93896484375,3679.80517578125,5223.00732421875,3767.1142578125,4796.52734375
0.3,27085.34375,11535.17578125,4753.44677734375,8846.9013671875,11813.06640625,6618.0322265625,3653.534912109375,5282.84130859375,3732.306884765625,4907.1435546875
0.35,27925.2265625,11896.970703125,4841.31396484375,9035.134765625,12113.7744140625,6870.65283203125,3803.347900390625,5391.79345703125,3815.715576171875,4837.423828125
0.4,27444.568359375,11774.048828125,5013.71875,9197.818359375,12102.6552734375,6761.12646484375,3844.552734375,5328.90087890625,3803.78271484375,4746.986328125
0.45,27374.541015625,11808.9814453125,4884.22900390625,8950.0478515625,12029.2177734375,6776.01953125,3726.972900390625,5333.65673828125,3772.260986328125,4890.7548828125
0.5,27687.36328125,11914.3916015625,4849.82958984375,9020.6689453125,12283.7958984375,6842.88916015625,3715.144287109375,5397.1337890625,3725.170166015625,4827.5712890625
0.55,27707.98046875,11953.0341796875,4959.962890625,9246.958984375,12255.88671875,6827.05615234375,3848.699462890625,5402.45263671875,3858.65966796875,4896.02392578125
0.6,27799.8984375,12082.19921875,5009.31103515625,9224.0185546875,12289.859375,6865.63330078125,3829.844482421875,5435.14453125,3871.64111328125,4908.46875
